date,close,volume,value,symbol_id,مقدار,daily_return,risk_free_rate,market_cap,usd_to_rial
2019-07-03,3150,40000000,126000000000,13243992182070788,246811.0,0.002925747,0.214811,97203564476.0,127450.0
2019-07-06,3307,171979,568734553,13243992182070788,243693.0,-0.012633148,0.2168,96469253514.0,129400.0
2019-07-07,3472,167528,581657216,13243992182070788,244616.0,0.003787552,0.219868,96347324710.0,128980.0
2019-07-08,3645,171088,623615760,13243992182070788,247222.0,0.010653432,0.217359,96506703445.0,127910.0
2019-07-09,3827,207065,792437755,13243992182070788,246828.0,-0.001593709,0.216329,95897253732.0,127430.0
2019-07-10,4018,264146,1061338628,13243992182070788,247477.0,0.002629361,0.215772,95916171933.0,127480.0
2019-07-13,4218,669818,2825292324,13243992182070788,248305.0,0.003345765,0.218468,96123817108.0,126000.0
2019-07-14,4428,205998,912159144,13243992182070788,251634.0,0.013406899,0.219836,97341103618.0,125000.0
2019-07-15,4649,194431,903909719,13243992182070788,251197.0,-0.001736649,0.220537,96890742600.0,121000.0
2019-07-16,4881,44567,217531527,13243992182070788,243613.0,-0.030191443,0.221761,93249540928.0,118890.0
2019-07-21,5342,628594,3358038074,13243992182070788,245621.0,0.00865248,0.2234,93399040414.0,118970.0
2019-07-22,5609,291874,1637121266,13243992182070788,248004.0,0.009701939,0.223026,94586293109.0,119000.0
2019-07-23,5889,241210,1420485690,13243992182070788,245617.0,-0.009624845,0.221589,94218413097.0,123000.0
2019-07-24,6183,263207,1627408881,13243992182070788,246316.0,0.002845894,0.221219,95583778947.0,121930.0
2019-07-27,6492,587829,3816185868,13243992182070788,245571.0,-0.00302457,0.225392,95271547440.0,120940.0
2019-07-28,6816,406736,2772312576,13243992182070788,245529.0,-0.00017103,0.223244,95685366501.0,121500.0
2019-07-29,7156,300027,2146993212,13243992182070788,245613.0,0.000342118,0.221684,94937093305.0,120420.0
2019-07-30,7513,2258203,16965879139,13243992182070788,246374.0,0.00309837,0.2258,95787139986.0,120500.0
2019-07-31,7888,2738791,21603583408,13243992182070788,248128.0,0.007119258,0.220719,95208132190.0,119430.0
2019-08-03,8282,68722,569155604,13243992182070788,248323.0,0.000785885,0.224164,96199602702.0,119910.0
2019-08-04,8778,3927519,34475395572,13243992182070788,249407.0,0.004365282,0.222046,97326494865.0,119000.0
2019-08-05,9216,837338,7716907008,13243992182070788,250481.0,0.004306214,0.22447,97238829212.0,118910.0
2019-08-06,9670,28728827,277820156780,13243992182070788,249692.0,-0.00314994,0.221285,96753185264.0,119420.0
2019-08-07,9602,16533870,158760690634,13243992182070788,249385.0,-0.001229515,0.220862,96754780403.0,118940.0
2019-08-10,9209,6074465,55941452521,13243992182070788,252989.0,0.014451551,0.2246,96943651028.0,118000.0
2019-08-11,9115,8941227,81497226221,13243992182070788,253483.0,0.001952654,0.224119,97114751974.0,117000.0
2019-08-13,8977,4745523,42602273701,13243992182070788,254945.0,0.005767645,0.227271,100135000000.0,116910.0
2019-08-14,9140,4414655,40351455516,13243992182070788,263478.0,0.033469964,0.226604,102557000000.0,117000.0
2019-08-17,9023,2190995,19769167981,13243992182070788,263603.0,0.000474423,0.22202,100995000000.0,117000.0
2019-08-18,9188,2244108,20618811821,13243992182070788,263048.0,-0.002105439,0.226976,102749000000.0,117420.0
2019-08-19,9146,2959917,27071437951,13243992182070788,264992.0,0.007390286,0.22585,103628000000.0,116960.0
2019-08-21,9130,2961787,27042016954,13243992182070788,268222.0,0.012189047,0.223665,104819000000.0,116420.0
2019-08-24,9417,5772529,54359135184,13243992182070788,271652.0,0.012787914,0.223825,105549000000.0,115900.0
2019-08-25,9434,3004798,28348525768,13243992182070788,270778.0,-0.003217352,0.220888,106398000000.0,114500.0
2019-08-26,9854,6124541,60354255880,13243992182070788,276663.0,0.021733671,0.221681,108295000000.0,111920.0
2019-08-27,10188,6108178,62228750492,13243992182070788,280322.0,0.013225476,0.222338,110144000000.0,111000.0
2019-08-28,10340,3943424,40776403491,13243992182070788,280569.0,0.00088113,0.218419,110385000000.0,111950.0
2019-08-31,10708,3970890,42520926524,13243992182070788,285860.0,0.018858106,0.220992,112934000000.0,113470.0
2019-09-01,10250,3426953,35126730263,13243992182070788,287630.0,0.006191842,0.221112,113430000000.0,114000.0
2019-09-02,9773,4944519,48322625690,13243992182070788,284297.0,-0.011587804,0.219191,114800000000.0,112480.0
2019-09-03,9986,2301374,22980505855,13243992182070788,286402.0,0.007404229,0.219931,115630000000.0,114000.0
